wikidata_qid,imdb_id,tmdb_type,tmdb_id,trakt_type,trakt_id,plex_type,plex_id,appletv_id,rottentomatoes_id,title,year,director,duration,tomatometer
Q11621,tt0083866,movie,601,movie,479,movie,5d776827eb5d26001f1dd79b,umc.cmc.y7sdg83ku22c7qmfh4v16q2e,m/et_the_extraterrestrial,"E.T. the Extra-Terrestrial",1982,"Steven Spielberg",115,98
Q11622,tt0303461,tv,1437,show,1428,show,5d9c086c7d06d9001ffd27aa,,tv/firefly,Firefly,,,,
Q11928,tt1027862,movie,10187,movie,5401,movie,5d77683485719b001f3a38b0,umc.cmc.43osxsel2k0bod2r6p96p12p1,m/swing_vote,"Swing Vote",2008,"Joshua Michael Stern",120,38
Q12766,tt0071075,tv,751,show,749,show,5d9c081a2df347001e3aaec2,,,"The World at War",,,1352,
Q14320,tt0319262,movie,435,movie,346,movie,5d776825961905001eb90ccb,umc.cmc.6a4d21rv7s6bqileg9e24tu0s,m/day_after_tomorrow,"The Day After Tomorrow",2004,"Roland Emmerich",118,45
Q16290,tt0092455,tv,655,show,653,show,5d9c0819705e7a001e6d2a1a,,tv/star_trek_the_next_generation,"Star Trek: The Next Generation",,,,
Q16401,tt0063929,tv,849,show,846,show,5d9c081a0aaccd001f8ed7a4,,,"Monty Python's Flying Circus",,"Ian MacNaughton",30,
Q16538,tt0121955,tv,2190,show,2177,show,5d9c08742192ba001f311a5d,umc.cmc.1n9fnkfiemhayikewq5xitzn6,tv/south_park,"South Park",,"Trey Parker",22,
Q16756,tt1442437,tv,1421,show,1412,show,5d9c086c3c3f87001f34f630,umc.cmc.cmw0vccgg7hpwfa3wgvvu5q0,tv/modern-family,"Modern Family",,,,
Q16782,tt1462758,movie,26388,movie,16052,movie,5d7768517228e5001f1e20fc,umc.cmc.4fcsj7y7qxntmo3bt1gceavyr,m/buried,Buried,2010,"Rodrigo Cortés",91,87
Q17738,tt0076759,movie,11,movie,7,movie,5d776824880197001ec901ac,umc.cmc.2o65qvudvwq1l1rqjlbyfszwn,m/star_wars_a_new_hope,"Star Wars: Episode IV – A New Hope",1977,"George Lucas",121,93
Q18405,tt0050783,movie,19426,movie,11969,movie,5d9f3dc0ca3253001ef32b12,umc.cmc.6nbytimz619wfpfcbax8jmo5i,m/nights_of_cabiria,"Nights of Cabiria",1957,"Federico Fellini",111,100
Q18954,tt1104001,movie,20526,movie,12601,movie,5d77684561141d001fb17810,umc.cmc.7c2xmkse0zwi22uyxkm2shm73,m/10011582-tron_legacy,"Tron: Legacy",2010,"Joseph Kosinski",127,51
Q18967,tt0283111,movie,11452,movie,6540,movie,5d7768375af944001f1fa5a7,umc.cmc.78oywtcbey56zcyw7w42v23it,m/national_lampoons_van_wilder,"National Lampoon's Van Wilder",2002,"Walt Becker",93,18
Q19089,tt0113189,movie,710,movie,582,movie,5d77682854c0f0001f301de7,umc.cmc.4hzpdyijbaav2znerods87wdh,m/goldeneye,GoldenEye,1995,"Martin Campbell",130,79
Q19090,tt0070608,movie,11886,movie,6904,movie,5d7768374de0ee001fccc010,umc.cmc.2f3jb9jb6cmlj6n7nhrgrqwc7,m/1017699-robin_hood,"Robin Hood",1973,"Wolfgang Reitherman",83,55
Q19355,tt0118799,movie,637,movie,513,movie,5d776d1923d5a3001f5207ae,umc.cmc.1fl0dchykieky5jute5dp4jpb,m/1084398-life_is_beautiful,"Life is Beautiful",1997,"Roberto Benigni",116,80
Q19405,tt0142688,movie,622,movie,498,movie,5d776827999c64001ec2c7f3,umc.cmc.95h9hxga7cy1xmsp9ss13fy6,m/ninth_gate,"The Ninth Gate",1999,"Roman Polanski",128,43
Q19570,tt1442462,tv,1435,show,1426,show,5d9c086c7d06d9001ffd27ba,umc.cmc.5ac3g1a14ep4032yihtkw6rck,tv/the-good-wife,"The Good Wife",,,43,
Q20456,tt0099348,movie,581,movie,460,movie,5d776827a091de001f2e62c8,umc.cmc.50ss2a4z0qylbj6jb8pdsqa3h,m/dances_with_wolves,"Dances with Wolves",1990,"Kevin Costner",,83
